mass JESUp JESDown

Wprime_WZ_M1000 2.060 -7.154
Wprime_WZ_M1200 -2.876 -1.890
Wprime_WZ_M1400 0.107 -4.218
Wprime_WZ_M1600 1.454 -5.655
Wprime_WZ_M1800 2.907 -7.374
Wprime_WZ_M2000 4.541 -6.837
Wprime_WZ_M2500 3.546 -7.824
Wprime_WZ_M3000 1.546 -5.659
Wprime_WZ_M3500 -0.297 -4.622
Wprime_WZ_M4000 0.242 -3.843
Wprime_WZ_M4500 -0.968 -5.018
