mass JMRUp JMRDown

BulkG_ZZ_M1000 1.515 -28.788
BulkG_ZZ_M1200 1.449 -7.536
BulkG_ZZ_M1400 3.856 -0.514
BulkG_ZZ_M1600 0.000 -7.839
BulkG_ZZ_M1800 6.867 -0.215
BulkG_ZZ_M2000 -1.852 -0.463
BulkG_ZZ_M2500 2.778 -5.093
BulkG_ZZ_M3000 6.667 0.000
BulkG_ZZ_M3500 -1.404 -6.180
BulkG_ZZ_M4000 8.485 -0.909
BulkG_ZZ_M4500 6.873 5.842
