mass JMRUp JMRDown

BulkG_ZZ_M1000 -1.779 5.040
BulkG_ZZ_M1200 -3.440 0.391
BulkG_ZZ_M1400 -1.896 5.688
BulkG_ZZ_M1600 -2.538 2.030
BulkG_ZZ_M1800 -0.836 2.843
BulkG_ZZ_M2000 1.441 1.864
BulkG_ZZ_M2500 -0.345 4.059
BulkG_ZZ_M3000 -3.123 -2.420
BulkG_ZZ_M3500 0.685 2.140
BulkG_ZZ_M4000 -1.106 2.468
BulkG_ZZ_M4500 0.272 1.902
