mass JMRUp JMRDown

Wprime_WZ_M1000 -4.743 -4.216
Wprime_WZ_M1200 -1.357 1.295
Wprime_WZ_M1400 -0.970 0.306
Wprime_WZ_M1600 -2.553 -0.627
Wprime_WZ_M1800 -1.254 1.421
Wprime_WZ_M2000 0.123 3.116
Wprime_WZ_M2500 -3.107 1.010
Wprime_WZ_M3000 0.083 1.413
Wprime_WZ_M3500 -2.894 1.555
Wprime_WZ_M4000 1.388 0.940
Wprime_WZ_M4500 0.235 1.130
