mass JMRUp JMRDown

BulkG_WW_M1000 -0.382 1.188
BulkG_WW_M1200 -0.501 0.702
BulkG_WW_M1400 -0.166 0.963
BulkG_WW_M1600 -0.650 0.813
BulkG_WW_M1800 -0.472 1.196
BulkG_WW_M2000 -0.184 1.165
BulkG_WW_M2500 -1.155 0.213
BulkG_WW_M3000 -0.478 0.127
BulkG_WW_M3500 0.189 0.915
BulkG_WW_M4000 -1.097 0.345
BulkG_WW_M4500 -0.751 0.250
