mass JESUp JESDown

Wprime_WZ_M1000 29.601 -24.343
Wprime_WZ_M1200 32.330 -27.536
Wprime_WZ_M1400 35.907 -31.403
Wprime_WZ_M1600 41.294 -33.590
Wprime_WZ_M1800 47.778 -32.593
Wprime_WZ_M2000 48.204 -32.892
Wprime_WZ_M2500 45.091 -33.273
Wprime_WZ_M3000 43.274 -34.684
Wprime_WZ_M3500 40.267 -31.798
Wprime_WZ_M4000 35.593 -29.944
Wprime_WZ_M4500 30.528 -30.402
