mass JESUp JESDown

BulkG_WW_M1000 15.306 -15.463
BulkG_WW_M1200 14.950 -17.193
BulkG_WW_M1400 20.404 -18.961
BulkG_WW_M1600 21.616 -27.074
BulkG_WW_M1800 24.029 -25.485
BulkG_WW_M2000 27.558 -26.194
BulkG_WW_M2500 21.136 -24.835
BulkG_WW_M3000 19.735 -24.067
BulkG_WW_M3500 18.527 -17.933
BulkG_WW_M4000 15.949 -20.140
BulkG_WW_M4500 15.416 -13.506
