mass JMSUp JMSDown

Wprime_WZ_M1000 -2.710 2.683
Wprime_WZ_M1200 -0.609 -0.630
Wprime_WZ_M1400 1.392 -1.520
Wprime_WZ_M1600 1.567 -1.931
Wprime_WZ_M1800 1.681 -2.594
Wprime_WZ_M2000 1.837 -2.168
Wprime_WZ_M2500 1.886 -1.942
Wprime_WZ_M3000 1.391 -2.195
Wprime_WZ_M3500 1.155 -0.231
Wprime_WZ_M4000 1.420 -0.970
Wprime_WZ_M4500 0.358 -1.685
