mass JESUp JESDown

BulkG_ZZ_M1000 -2.991 -5.332
BulkG_ZZ_M1200 -11.378 8.217
BulkG_ZZ_M1400 -10.778 10.227
BulkG_ZZ_M1600 -9.064 8.193
BulkG_ZZ_M1800 -9.941 9.765
BulkG_ZZ_M2000 -10.153 10.683
BulkG_ZZ_M2500 -11.279 4.470
BulkG_ZZ_M3000 -10.924 7.698
BulkG_ZZ_M3500 -8.564 9.951
BulkG_ZZ_M4000 -13.744 7.757
BulkG_ZZ_M4500 -9.745 11.020
