mass JMRUp JMRDown

Wprime_WZ_M1000 1.689 -2.158
Wprime_WZ_M1200 6.311 0.435
Wprime_WZ_M1400 -0.240 -3.477
Wprime_WZ_M1600 7.571 -5.286
Wprime_WZ_M1800 8.219 -3.425
Wprime_WZ_M2000 -2.492 -9.136
Wprime_WZ_M2500 6.961 -4.754
Wprime_WZ_M3000 9.208 2.100
Wprime_WZ_M3500 5.028 -5.307
Wprime_WZ_M4000 1.745 -2.819
Wprime_WZ_M4500 5.619 -0.255
