mass JESUp JESDown

Wprime_WZ_M1000 7.588 -10.314
Wprime_WZ_M1200 0.172 -0.532
Wprime_WZ_M1400 0.015 -1.163
Wprime_WZ_M1600 0.686 -1.095
Wprime_WZ_M1800 1.169 -1.621
Wprime_WZ_M2000 1.234 -1.836
Wprime_WZ_M2500 1.188 -2.475
Wprime_WZ_M3000 1.372 -2.239
Wprime_WZ_M3500 1.052 -2.179
Wprime_WZ_M4000 1.048 -1.791
Wprime_WZ_M4500 0.758 -1.980
