mass JMRUp JMRDown

BulkG_ZZ_M1000 3.634 -2.882
BulkG_ZZ_M1200 1.706 -0.253
BulkG_ZZ_M1400 2.001 -1.092
BulkG_ZZ_M1600 -1.197 -1.482
BulkG_ZZ_M1800 1.977 -1.105
BulkG_ZZ_M2000 0.000 -1.620
BulkG_ZZ_M2500 0.862 1.940
BulkG_ZZ_M3000 -0.150 1.047
BulkG_ZZ_M3500 2.431 0.324
BulkG_ZZ_M4000 2.211 0.425
BulkG_ZZ_M4500 -3.697 -5.847
