mass JMRUp JMRDown

Wprime_WZ_M1000 -0.860 0.614
Wprime_WZ_M1200 -0.685 0.833
Wprime_WZ_M1400 -1.034 0.372
Wprime_WZ_M1600 -1.129 0.214
Wprime_WZ_M1800 -0.628 0.254
Wprime_WZ_M2000 -0.397 0.730
Wprime_WZ_M2500 -0.104 1.052
Wprime_WZ_M3000 -0.190 0.551
Wprime_WZ_M3500 -1.054 0.875
Wprime_WZ_M4000 -0.685 0.602
Wprime_WZ_M4500 -0.238 0.714
