mass JESUp JESDown

BulkG_ZZ_M1000 5.313 -10.588
BulkG_ZZ_M1200 -2.021 1.202
BulkG_ZZ_M1400 -1.754 1.119
BulkG_ZZ_M1600 -1.736 0.881
BulkG_ZZ_M1800 -1.074 0.498
BulkG_ZZ_M2000 -1.085 0.400
BulkG_ZZ_M2500 -1.203 0.411
BulkG_ZZ_M3000 -2.036 0.701
BulkG_ZZ_M3500 -2.929 2.286
BulkG_ZZ_M4000 -4.243 2.121
BulkG_ZZ_M4500 -3.632 3.632
