mass JMRUp JMRDown

BulkG_ZZ_M1000 -1.652 0.640
BulkG_ZZ_M1200 -0.979 1.080
BulkG_ZZ_M1400 -0.031 1.378
BulkG_ZZ_M1600 -0.150 0.449
BulkG_ZZ_M1800 -0.369 0.796
BulkG_ZZ_M2000 -0.334 1.001
BulkG_ZZ_M2500 -1.061 0.000
BulkG_ZZ_M3000 -0.211 -0.026
BulkG_ZZ_M3500 -0.811 0.550
BulkG_ZZ_M4000 -0.635 0.371
BulkG_ZZ_M4500 -0.829 -0.029
