mass JMRUp JMRDown

BulkG_ZZ_M1000 -3.345 3.749
BulkG_ZZ_M1200 -3.356 2.530
BulkG_ZZ_M1400 -3.656 2.634
BulkG_ZZ_M1600 -0.438 4.312
BulkG_ZZ_M1800 -5.839 1.615
BulkG_ZZ_M2000 -0.666 3.398
BulkG_ZZ_M2500 -4.246 -0.227
BulkG_ZZ_M3000 -2.767 0.237
BulkG_ZZ_M3500 -3.169 2.252
BulkG_ZZ_M4000 -6.069 2.639
BulkG_ZZ_M4500 2.414 4.550
