mass JMRUp JMRDown

Wprime_WZ_M1000 -1.202 -3.273
Wprime_WZ_M1200 3.030 -5.135
Wprime_WZ_M1400 0.727 -6.231
Wprime_WZ_M1600 3.386 0.726
Wprime_WZ_M1800 4.410 -3.983
Wprime_WZ_M2000 6.625 -4.101
Wprime_WZ_M2500 -1.791 -5.970
Wprime_WZ_M3000 5.690 0.284
Wprime_WZ_M3500 3.444 -1.325
Wprime_WZ_M4000 2.834 1.754
Wprime_WZ_M4500 0.543 -2.578
