mass JESUp JESDown

BulkG_WW_M1000 11.839 -15.605
BulkG_WW_M1200 17.695 -15.608
BulkG_WW_M1400 20.645 -20.968
BulkG_WW_M1600 24.291 -24.177
BulkG_WW_M1800 25.917 -23.077
BulkG_WW_M2000 28.227 -23.764
BulkG_WW_M2500 23.768 -24.754
BulkG_WW_M3000 22.875 -24.449
BulkG_WW_M3500 22.100 -18.500
BulkG_WW_M4000 21.531 -17.799
BulkG_WW_M4500 15.188 -15.444
