mass JMRUp JMRDown

BulkG_WW_M1000 0.815 0.543
BulkG_WW_M1200 1.617 -3.404
BulkG_WW_M1400 2.503 -8.609
BulkG_WW_M1600 4.767 -3.900
BulkG_WW_M1800 2.434 -3.650
BulkG_WW_M2000 9.507 1.174
BulkG_WW_M2500 2.510 -3.347
BulkG_WW_M3000 4.560 1.244
BulkG_WW_M3500 4.336 -4.901
BulkG_WW_M4000 0.373 0.560
BulkG_WW_M4500 2.027 -1.689
