mass JESUp JESDown

BulkG_WW_M1000 8.345 -10.203
BulkG_WW_M1200 1.265 -1.084
BulkG_WW_M1400 0.937 -1.633
BulkG_WW_M1600 1.120 -1.632
BulkG_WW_M1800 0.969 -1.570
BulkG_WW_M2000 1.458 -1.421
BulkG_WW_M2500 1.610 -1.885
BulkG_WW_M3000 1.634 -1.508
BulkG_WW_M3500 1.471 -1.558
BulkG_WW_M4000 0.827 -1.697
BulkG_WW_M4500 0.484 -0.775
