mass JMSUp JMSDown

BulkG_ZZ_M1000 -2.035 2.072
BulkG_ZZ_M1200 -0.819 0.767
BulkG_ZZ_M1400 -0.763 0.458
BulkG_ZZ_M1600 -0.492 0.337
BulkG_ZZ_M1800 -0.314 0.341
BulkG_ZZ_M2000 -0.285 0.257
BulkG_ZZ_M2500 -0.190 -0.032
BulkG_ZZ_M3000 -0.534 0.067
BulkG_ZZ_M3500 -1.000 1.000
BulkG_ZZ_M4000 -1.526 0.744
BulkG_ZZ_M4500 -1.026 1.303
