mass JMSUp JMSDown

BulkG_WW_M1000 0.210 -0.105
BulkG_WW_M1200 0.632 -0.572
BulkG_WW_M1400 0.302 -0.816
BulkG_WW_M1600 0.448 -0.704
BulkG_WW_M1800 0.601 -0.501
BulkG_WW_M2000 0.656 -0.510
BulkG_WW_M2500 0.628 -0.628
BulkG_WW_M3000 0.587 -0.545
BulkG_WW_M3500 0.822 -0.649
BulkG_WW_M4000 0.044 -0.696
BulkG_WW_M4500 -0.097 -0.387
