mass JESUp JESDown

BulkG_ZZ_M1000 14.634 21.951
BulkG_ZZ_M1200 -24.127 41.270
BulkG_ZZ_M1400 -24.000 37.067
BulkG_ZZ_M1600 -26.914 36.195
BulkG_ZZ_M1800 -26.222 40.000
BulkG_ZZ_M2000 -26.506 39.036
BulkG_ZZ_M2500 -30.637 45.098
BulkG_ZZ_M3000 -30.205 46.041
BulkG_ZZ_M3500 -39.884 40.173
BulkG_ZZ_M4000 -30.303 45.152
BulkG_ZZ_M4500 -33.108 48.311
