mass JMSUp JMSDown

BulkG_WW_M1000 23.273 -18.182
BulkG_WW_M1200 24.848 -17.576
BulkG_WW_M1400 24.627 -18.657
BulkG_WW_M1600 30.108 -13.978
BulkG_WW_M1800 20.000 -27.778
BulkG_WW_M2000 33.333 -26.087
BulkG_WW_M2500 25.532 -18.085
BulkG_WW_M3000 33.333 -14.583
BulkG_WW_M3500 23.967 -18.182
BulkG_WW_M4000 13.636 -15.152
BulkG_WW_M4500 16.154 -16.923
