mass JMSUp JMSDown

Wprime_WZ_M1000 12.658 -9.445
Wprime_WZ_M1200 13.266 -11.483
Wprime_WZ_M1400 15.315 -13.642
Wprime_WZ_M1600 15.408 -13.713
Wprime_WZ_M1800 17.778 -17.222
Wprime_WZ_M2000 19.849 -14.556
Wprime_WZ_M2500 15.091 -13.091
Wprime_WZ_M3000 15.235 -14.263
Wprime_WZ_M3500 12.036 -12.036
Wprime_WZ_M4000 10.876 -9.463
Wprime_WZ_M4500 9.925 -11.055
