mass JMRUp JMRDown

Wprime_WZ_M1000 -1.913 2.307
Wprime_WZ_M1200 -1.795 2.211
Wprime_WZ_M1400 -0.603 2.906
Wprime_WZ_M1600 -1.655 1.189
Wprime_WZ_M1800 -3.205 0.049
Wprime_WZ_M2000 -0.807 0.755
Wprime_WZ_M2500 -0.263 2.809
Wprime_WZ_M3000 -1.205 0.983
Wprime_WZ_M3500 -1.824 1.722
Wprime_WZ_M4000 -2.966 0.070
Wprime_WZ_M4500 -0.484 1.975
