mass JESUp JESDown

BulkG_WW_M1000 52.000 -35.636
BulkG_WW_M1200 69.091 -39.394
BulkG_WW_M1400 76.119 -38.060
BulkG_WW_M1600 78.495 -35.484
BulkG_WW_M1800 81.111 -47.778
BulkG_WW_M2000 89.855 -53.623
BulkG_WW_M2500 74.468 -41.489
BulkG_WW_M3000 90.625 -35.417
BulkG_WW_M3500 74.380 -39.669
BulkG_WW_M4000 65.909 -37.121
BulkG_WW_M4500 56.923 -46.154
