mass JMSUp JMSDown

BulkG_WW_M1000 4.553 -4.867
BulkG_WW_M1200 7.143 -8.140
BulkG_WW_M1400 7.892 -8.566
BulkG_WW_M1600 7.860 -11.463
BulkG_WW_M1800 11.044 -11.529
BulkG_WW_M2000 11.869 -9.686
BulkG_WW_M2500 8.454 -10.568
BulkG_WW_M3000 6.859 -10.349
BulkG_WW_M3500 6.413 -8.076
BulkG_WW_M4000 5.937 -6.636
BulkG_WW_M4500 4.911 -5.048
