mass JESUp JESDown

BulkG_WW_M1000 6.839 -11.176
BulkG_WW_M1200 1.651 -1.816
BulkG_WW_M1400 1.905 -2.365
BulkG_WW_M1600 1.963 -3.024
BulkG_WW_M1800 2.855 -3.011
BulkG_WW_M2000 2.933 -3.598
BulkG_WW_M2500 2.879 -3.121
BulkG_WW_M3000 2.470 -3.610
BulkG_WW_M3500 3.077 -3.668
BulkG_WW_M4000 3.195 -4.404
BulkG_WW_M4500 2.224 -3.676
