mass JMSUp JMSDown

BulkG_WW_M1000 0.209 -0.542
BulkG_WW_M1200 0.594 -0.924
BulkG_WW_M1400 0.821 -1.051
BulkG_WW_M1600 1.094 -1.287
BulkG_WW_M1800 1.210 -1.148
BulkG_WW_M2000 1.693 -1.149
BulkG_WW_M2500 1.394 -1.030
BulkG_WW_M3000 1.045 -1.140
BulkG_WW_M3500 1.181 -1.368
BulkG_WW_M4000 1.334 -1.396
BulkG_WW_M4500 1.112 -1.267
