mass JESUp JESDown

BulkG_ZZ_M1000 5.663 -9.963
BulkG_ZZ_M1200 -1.537 1.236
BulkG_ZZ_M1400 -1.083 1.114
BulkG_ZZ_M1600 -0.833 0.298
BulkG_ZZ_M1800 -0.534 -0.141
BulkG_ZZ_M2000 -0.082 -0.412
BulkG_ZZ_M2500 -0.136 -0.787
BulkG_ZZ_M3000 -0.789 -0.053
BulkG_ZZ_M3500 -1.065 0.390
BulkG_ZZ_M4000 -2.440 0.236
BulkG_ZZ_M4500 -1.539 0.655
