mass JERUp JERDown

BulkG_ZZ_M1000 -0.130 0.000
BulkG_ZZ_M1200 0.000 0.000
BulkG_ZZ_M1400 0.000 0.000
BulkG_ZZ_M1600 0.000 0.000
BulkG_ZZ_M1800 0.000 0.000
BulkG_ZZ_M2000 0.000 0.000
BulkG_ZZ_M2500 0.000 0.000
BulkG_ZZ_M3000 0.000 0.000
BulkG_ZZ_M3500 0.000 0.000
BulkG_ZZ_M4000 0.000 0.000
BulkG_ZZ_M4500 0.000 0.000
