mass JERUp JERDown

BulkG_WW_M1000 0.083 0.083
BulkG_WW_M1200 0.000 0.000
BulkG_WW_M1400 0.000 0.000
BulkG_WW_M1600 0.000 0.000
BulkG_WW_M1800 0.000 0.000
BulkG_WW_M2000 0.000 0.000
BulkG_WW_M2500 0.000 0.000
BulkG_WW_M3000 0.000 0.000
BulkG_WW_M3500 0.000 0.000
BulkG_WW_M4000 0.000 0.000
BulkG_WW_M4500 0.000 0.000
