mass JMRUp JMRDown

Wprime_WZ_M1000 5.710 0.309
Wprime_WZ_M1200 -0.296 1.302
Wprime_WZ_M1400 -3.030 -2.369
Wprime_WZ_M1600 -1.969 -2.235
Wprime_WZ_M1800 3.054 2.264
Wprime_WZ_M2000 -1.966 2.348
Wprime_WZ_M2500 0.877 0.292
Wprime_WZ_M3000 -0.853 -0.284
Wprime_WZ_M3500 -1.905 0.229
Wprime_WZ_M4000 2.564 1.158
Wprime_WZ_M4500 -0.166 -0.083
