mass JMSUp JMSDown

BulkG_ZZ_M1000 -2.150 2.307
BulkG_ZZ_M1200 -0.869 0.568
BulkG_ZZ_M1400 -0.248 0.402
BulkG_ZZ_M1600 -0.238 0.060
BulkG_ZZ_M1800 -0.281 -0.141
BulkG_ZZ_M2000 -0.192 -0.027
BulkG_ZZ_M2500 0.108 0.081
BulkG_ZZ_M3000 -0.421 0.105
BulkG_ZZ_M3500 -0.286 0.312
BulkG_ZZ_M4000 -0.813 0.367
BulkG_ZZ_M4500 -0.456 -0.171
