mass JMSUp JMSDown

BulkG_WW_lvjj_M800 -0.513 4.103
BulkG_WW_lvjj_M1200 -1.374 0.824
BulkG_WW_lvjj_M1400 -0.437 1.092
BulkG_WW_lvjj_M1600 0.000 0.000
BulkG_WW_lvjj_M1800 -0.678 0.000
BulkG_WW_lvjj_M2000 0.000 1.401
BulkG_WW_lvjj_M2500 0.935 0.584
BulkG_WW_lvjj_M3000 -0.210 -0.419
BulkG_WW_lvjj_M3500 0.000 -0.610
BulkG_WW_lvjj_M4000 0.526 -0.632
BulkG_WW_lvjj_M4500 0.539 -0.970
