mass JMRUp JMRDown

BulkG_WW_lvjj_M800 1.446 -3.575
BulkG_WW_lvjj_M1200 5.108 -6.714
BulkG_WW_lvjj_M1400 8.569 -6.930
BulkG_WW_lvjj_M1600 6.550 -10.783
BulkG_WW_lvjj_M1800 7.312 -10.228
BulkG_WW_lvjj_M2000 10.585 -7.341
BulkG_WW_lvjj_M2500 10.013 -5.678
BulkG_WW_lvjj_M3000 4.242 -6.603
BulkG_WW_lvjj_M3500 6.153 -5.717
BulkG_WW_lvjj_M4000 3.041 -6.754
BulkG_WW_lvjj_M4500 3.945 -4.205
