mass JMSUp JMSDown

Wprime_WZ_lvjj_M800 -1.212 1.212
Wprime_WZ_lvjj_M1000 -1.208 0.810
Wprime_WZ_lvjj_M1200 -0.751 0.587
Wprime_WZ_lvjj_M1400 -0.497 0.389
Wprime_WZ_lvjj_M1600 -0.165 0.155
Wprime_WZ_lvjj_M1800 -0.175 0.292
Wprime_WZ_lvjj_M2000 -0.132 0.218
Wprime_WZ_lvjj_M2500 -0.232 0.167
Wprime_WZ_lvjj_M3000 -0.294 0.129
Wprime_WZ_lvjj_M3500 -0.203 0.314
Wprime_WZ_lvjj_M4000 -0.490 0.333
Wprime_WZ_lvjj_M4500 -0.313 0.322
