mass JMRUp JMRDown

Wprime_WZ_lvjj_M800 -0.761 0.561
Wprime_WZ_lvjj_M1000 -0.805 0.583
Wprime_WZ_lvjj_M1200 -0.496 0.496
Wprime_WZ_lvjj_M1400 -0.250 0.304
Wprime_WZ_lvjj_M1600 -0.291 0.239
Wprime_WZ_lvjj_M1800 -0.392 0.166
Wprime_WZ_lvjj_M2000 -0.371 0.209
Wprime_WZ_lvjj_M2500 -0.345 0.317
Wprime_WZ_lvjj_M3000 -0.157 0.434
Wprime_WZ_lvjj_M3500 -0.167 0.260
Wprime_WZ_lvjj_M4000 -0.372 0.288
Wprime_WZ_lvjj_M4500 -0.362 0.305
