mass JESUp JESDown

BulkG_WW_lvjj_M800 -6.281 4.806
BulkG_WW_lvjj_M1200 -5.575 4.745
BulkG_WW_lvjj_M1400 -5.171 3.572
BulkG_WW_lvjj_M1600 -4.810 3.158
BulkG_WW_lvjj_M1800 -4.384 3.150
BulkG_WW_lvjj_M2000 -4.158 2.963
BulkG_WW_lvjj_M2500 -4.284 2.798
BulkG_WW_lvjj_M3000 -4.773 3.733
BulkG_WW_lvjj_M3500 -5.197 2.798
BulkG_WW_lvjj_M4000 -4.738 3.078
BulkG_WW_lvjj_M4500 -7.069 3.321
