mass JESUp JESDown

Wprime_WZ_lvjj_M800 2.609 -4.276
Wprime_WZ_lvjj_M1000 3.222 -5.358
Wprime_WZ_lvjj_M1200 5.158 -7.155
Wprime_WZ_lvjj_M1400 6.242 -8.445
Wprime_WZ_lvjj_M1600 7.388 -8.469
Wprime_WZ_lvjj_M1800 7.940 -10.540
Wprime_WZ_lvjj_M2000 8.324 -9.582
Wprime_WZ_lvjj_M2500 9.455 -11.616
Wprime_WZ_lvjj_M3000 8.307 -10.765
Wprime_WZ_lvjj_M3500 8.319 -10.580
Wprime_WZ_lvjj_M4000 6.972 -10.253
Wprime_WZ_lvjj_M4500 5.497 -9.780
