mass JMSUp JMSDown

BulkG_WW_lvjj_M800 6.781 -6.927
BulkG_WW_lvjj_M1200 10.498 -10.958
BulkG_WW_lvjj_M1400 12.283 -10.320
BulkG_WW_lvjj_M1600 13.777 -11.490
BulkG_WW_lvjj_M1800 12.882 -11.627
BulkG_WW_lvjj_M2000 12.341 -12.500
BulkG_WW_lvjj_M2500 11.034 -11.141
BulkG_WW_lvjj_M3000 10.255 -11.363
BulkG_WW_lvjj_M3500 10.383 -9.170
BulkG_WW_lvjj_M4000 8.263 -8.602
BulkG_WW_lvjj_M4500 7.776 -8.301
