mass JMRUp JMRDown

BulkG_WW_lvjj_M800 -1.999 3.940
BulkG_WW_lvjj_M1200 -3.715 3.845
BulkG_WW_lvjj_M1400 -3.001 3.246
BulkG_WW_lvjj_M1600 -1.219 3.259
BulkG_WW_lvjj_M1800 -3.422 3.242
BulkG_WW_lvjj_M2000 -3.080 3.957
BulkG_WW_lvjj_M2500 -2.728 3.259
BulkG_WW_lvjj_M3000 -3.464 2.681
BulkG_WW_lvjj_M3500 -3.039 2.476
BulkG_WW_lvjj_M4000 -2.822 3.085
BulkG_WW_lvjj_M4500 -1.465 3.125
