mass JESUp JESDown

Wprime_WZ_lvjj_M800 6.061 -6.061
Wprime_WZ_lvjj_M1000 5.584 -6.091
Wprime_WZ_lvjj_M1200 7.364 -7.364
Wprime_WZ_lvjj_M1400 7.067 -9.187
Wprime_WZ_lvjj_M1600 11.635 -9.434
Wprime_WZ_lvjj_M1800 11.782 -13.293
Wprime_WZ_lvjj_M2000 10.511 -14.773
Wprime_WZ_lvjj_M2500 8.393 -14.149
Wprime_WZ_lvjj_M3000 12.687 -17.413
Wprime_WZ_lvjj_M3500 11.364 -14.318
Wprime_WZ_lvjj_M4000 11.243 -13.412
Wprime_WZ_lvjj_M4500 7.525 -11.089
