mass JMSUp JMSDown

BulkG_WW_lvjj_M800 -9.297 9.049
BulkG_WW_lvjj_M1200 -6.588 6.087
BulkG_WW_lvjj_M1400 -5.943 4.495
BulkG_WW_lvjj_M1600 -5.270 3.775
BulkG_WW_lvjj_M1800 -4.803 3.715
BulkG_WW_lvjj_M2000 -4.385 3.338
BulkG_WW_lvjj_M2500 -4.047 3.221
BulkG_WW_lvjj_M3000 -4.300 3.659
BulkG_WW_lvjj_M3500 -4.797 3.123
BulkG_WW_lvjj_M4000 -3.914 3.287
BulkG_WW_lvjj_M4500 -4.682 3.067
