mass JMSUp JMSDown

Wprime_WZ_lvjj_M800 1.818 0.606
Wprime_WZ_lvjj_M1000 2.030 -2.538
Wprime_WZ_lvjj_M1200 4.651 -3.876
Wprime_WZ_lvjj_M1400 3.887 -3.534
Wprime_WZ_lvjj_M1600 4.403 -2.516
Wprime_WZ_lvjj_M1800 6.042 -4.230
Wprime_WZ_lvjj_M2000 4.261 -4.545
Wprime_WZ_lvjj_M2500 3.118 -5.276
Wprime_WZ_lvjj_M3000 5.721 -6.965
Wprime_WZ_lvjj_M3500 3.636 -4.545
Wprime_WZ_lvjj_M4000 6.706 -3.353
Wprime_WZ_lvjj_M4500 3.168 -4.158
