mass JMSUp JMSDown

Wprime_WZ_lvjj_M800 -0.752 0.000
Wprime_WZ_lvjj_M1000 -0.275 -0.275
Wprime_WZ_lvjj_M1200 0.000 -0.446
Wprime_WZ_lvjj_M1400 0.190 -0.569
Wprime_WZ_lvjj_M1600 0.155 0.309
Wprime_WZ_lvjj_M1800 0.276 -0.138
Wprime_WZ_lvjj_M2000 0.244 -0.244
Wprime_WZ_lvjj_M2500 0.858 -0.858
Wprime_WZ_lvjj_M3000 0.494 -0.593
Wprime_WZ_lvjj_M3500 0.462 -0.739
Wprime_WZ_lvjj_M4000 0.895 -0.651
Wprime_WZ_lvjj_M4500 0.847 -0.593
