mass JMRUp JMRDown

BulkG_WW_lvjj_M800 1.734 -0.289
BulkG_WW_lvjj_M1200 -1.152 0.000
BulkG_WW_lvjj_M1400 0.675 2.530
BulkG_WW_lvjj_M1600 -1.422 2.370
BulkG_WW_lvjj_M1800 0.851 0.567
BulkG_WW_lvjj_M2000 1.006 2.390
BulkG_WW_lvjj_M2500 -1.474 2.316
BulkG_WW_lvjj_M3000 0.216 -0.431
BulkG_WW_lvjj_M3500 -0.306 0.510
BulkG_WW_lvjj_M4000 1.145 2.672
BulkG_WW_lvjj_M4500 -0.099 0.592
