mass JMSUp JMSDown

Wprime_WZ_lvjj_M800 -4.950 -0.990
Wprime_WZ_lvjj_M1000 -3.012 2.410
Wprime_WZ_lvjj_M1200 -6.316 4.211
Wprime_WZ_lvjj_M1400 -4.098 2.869
Wprime_WZ_lvjj_M1600 -3.951 3.040
Wprime_WZ_lvjj_M1800 -4.580 3.308
Wprime_WZ_lvjj_M2000 -2.790 3.004
Wprime_WZ_lvjj_M2500 -0.971 2.718
Wprime_WZ_lvjj_M3000 -2.951 3.607
Wprime_WZ_lvjj_M3500 -1.713 1.869
Wprime_WZ_lvjj_M4000 -3.186 1.247
Wprime_WZ_lvjj_M4500 -0.888 2.071
