mass JMRUp JMRDown

Wprime_WZ_lvjj_M800 -2.151 8.602
Wprime_WZ_lvjj_M1000 0.602 -0.602
Wprime_WZ_lvjj_M1200 2.151 1.613
Wprime_WZ_lvjj_M1400 2.049 -2.049
Wprime_WZ_lvjj_M1600 1.543 0.926
Wprime_WZ_lvjj_M1800 0.767 1.790
Wprime_WZ_lvjj_M2000 1.766 2.428
Wprime_WZ_lvjj_M2500 1.705 -1.326
Wprime_WZ_lvjj_M3000 0.162 -0.647
Wprime_WZ_lvjj_M3500 -2.329 -1.242
Wprime_WZ_lvjj_M4000 0.419 1.257
Wprime_WZ_lvjj_M4500 -1.760 -0.733
