mass JESUp JESDown

BulkG_WW_lvjj_M800 -6.750 5.266
BulkG_WW_lvjj_M1200 -5.691 4.913
BulkG_WW_lvjj_M1400 -5.532 3.884
BulkG_WW_lvjj_M1600 -5.004 3.460
BulkG_WW_lvjj_M1800 -4.699 3.428
BulkG_WW_lvjj_M2000 -4.576 3.324
BulkG_WW_lvjj_M2500 -4.718 3.365
BulkG_WW_lvjj_M3000 -5.479 4.236
BulkG_WW_lvjj_M3500 -5.919 3.412
BulkG_WW_lvjj_M4000 -5.473 3.800
BulkG_WW_lvjj_M4500 -7.817 4.094
