mass JMSUp JMSDown

BulkG_WW_lvjj_M800 0.036 -0.071
BulkG_WW_lvjj_M1200 0.208 -0.257
BulkG_WW_lvjj_M1400 0.184 -0.346
BulkG_WW_lvjj_M1600 0.372 -0.450
BulkG_WW_lvjj_M1800 0.308 -0.452
BulkG_WW_lvjj_M2000 0.420 -0.494
BulkG_WW_lvjj_M2500 0.371 -0.424
BulkG_WW_lvjj_M3000 0.397 -0.522
BulkG_WW_lvjj_M3500 0.411 -0.513
BulkG_WW_lvjj_M4000 0.469 -0.429
BulkG_WW_lvjj_M4500 0.425 -0.556
