mass JESUp JESDown

BulkG_WW_lvjj_M800 -5.460 4.225
BulkG_WW_lvjj_M1200 -5.576 4.298
BulkG_WW_lvjj_M1400 -5.482 3.564
BulkG_WW_lvjj_M1600 -4.984 3.215
BulkG_WW_lvjj_M1800 -4.417 2.854
BulkG_WW_lvjj_M2000 -4.165 2.800
BulkG_WW_lvjj_M2500 -4.805 2.823
BulkG_WW_lvjj_M3000 -5.329 2.324
BulkG_WW_lvjj_M3500 -5.394 3.443
BulkG_WW_lvjj_M4000 -5.633 3.870
BulkG_WW_lvjj_M4500 -6.370 3.501
